,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
18SrRNA-Psi:CR41602,0.70684714,0.436119117,0.389967507,0.406868098,0.536471266,1.112017136
28SrRNA-Psi:CR40596,1.269509588,1.155938305,1.179757964,0.671040701,1.092427973,2.163875891
5-HT1A,0.001884057,0.082871453,0.008817561,0,0.039335566,0.003138102
5-HT2A,0.219692942,0.903353208,0.013607622,0.028759943,0.262403101,0.022118889
5-HT7,0.316900576,0.305530253,0.049295008,0.283227491,0.35989078,0.319343412
7B2,0.005724937,0.152225068,0.001614846,0.001520361,0.003880468,0.001906685
AANAT1,1.87457951,0.552470786,1.767910606,0.100635245,1.182955876,1.994292787
AANATL3,0.987638504,0.067837591,0.256579158,0.036554821,0.359389834,0.56700876
ABCA,0.851867254,0.57478463,0.430624693,0.271934202,0.507984425,0.747382938
ADPS,0.011776335,0.022055243,0.365336174,1.46918252,0.742543105,0.125217357
AQP,0.000776517,0.061871346,0.003184016,0.003419329,0,0
Abd-B,0.03744844,0.014359739,0.372437787,0.013955701,0.003758492,0.033525374
Ac3,0.002266629,0.044640712,0.00634744,0.00492856,0.026185089,0.079760043
Acbp2,1.297598159,0.608958775,0.894608323,3.500513344,2.509641672,1.559544815
Acbp3,0.250534759,0.271528474,0.179898801,0.235806478,0.351332646,0.559944365
Acbp5,1.222399723,0.941901054,0.960987142,0.935939457,1.201323517,2.67906418
Acbp6,0.277549303,0.139384702,0.168215034,0.050389772,0.148500058,0.264952984
Ace,1.051104939,0.654352441,0.137284611,1.581439826,1.062548053,0.454682094
Achl,0.150269802,0.471315023,0.067073189,0.113636079,0.024217704,0.02603345
Acp24A4,0.175827071,0.003384205,0.059897535,0.021522714,0.017027116,0.010622091
Acp26Aa,0.03017189,0.063464951,0.072374281,0.024824884,1.251921337,0.057920566
Acp26Ab,0.060481716,0.026415375,0.034560007,0.022201436,1.087167928,0.059374756
Acp29AB,0.011439504,0.008452615,0.016953965,0.003924018,0.625669593,0.013227421
Acp32CD,0.008786766,0.001942008,0.001006317,0.001098346,0.119567026,0.000549173
Acp33A,0.0391253,0.086628773,0.127850339,0.057870543,1.470533096,0.084335633
